"","Astrocyte","Astrocytes.Fetal","Epithelial","Endothelial","opc","Oligos","NPC","NPCDA","Neuron","NeuronDA","RG","RadialGliaDiv","StemCell"
"CD133",0.404787632741352,0.745155698741523,0.562452971388447,0.496397550226272,1,0.386787292910455,0.318938037850864,0.271978329269698,0.0360451152013882,0,0.774402732966684,0.625977969678022,0.55309273089392
"CD140a",0.451015769854457,0.480123829034008,0,0.00205102397248446,1,0.846292768988874,0.190086141215414,0.192015068302762,0.268060403943973,0.469136925513748,0.434743078729995,0.00197313810051414,0.00219029522118452
"CD15",0.222622405059797,0.402229581908571,1,1,0.325941038555161,0.770366455504569,0.63792676906749,0.465964273337397,0.532569205392197,0.483266833765054,0.154691592296637,0.882561437595022,0
"CD184",0.624812021469382,1,0.419479126190149,1,0.518607396931095,0.598760563327804,0.360906490826541,0.361711746021007,0.0769090557327068,0,0.886265112682002,0.567618786753763,0.439997940670314
"CD24",0.00966472438423382,1,0.306342182834807,0,0.505036593955887,0.486500218341247,0.84107407616854,0.930652997454972,0.827933504533042,0.9335812781668,0.269789119053031,0.0782590190685263,0.809027076050249
"CD29",0.302761330656792,0.437028291421312,0.572832663221731,1,0.452267575145771,0.420578952449984,0.0145506573950261,0.0564968935560346,0,0.117484331106958,0.50643658934304,0.39694800750265,0.572398951417418
"CD44",0.689389556033171,1,0.983396937685999,0.264362319973387,0.632921499329957,0.236333918075184,0.78425303742165,0.407273418625639,0,0.00691476120238267,0.991856915440815,0.439314237544737,0.490088308313624
"CD49f",0.921736738145994,0.373640678521135,0.383756617869113,1,0.298472248310544,0.15913781425823,0.270733640512825,0.235407338702246,0,0.0370364644720607,0.370644663879349,0.526362688312693,0.117945259616077
"CD56",0.319328436809778,0.849801153154834,0,0,0.586203168403498,0.582675993999122,0.0680120561855834,0.47280934838873,0.98200093442575,1,0.176727552055835,0.521699282495557,0.395487036569861
"SSEA4",0.502073478630859,1,0,0.842425238700357,0.282284971629678,0,0.344917657086042,0.555249400738844,0.332728740490898,0.430761240635955,0.36856425818762,0.101311687530365,0.54327147728755
"TH",0.0872550975471544,NA,0,0,0.0416666666666667,0.00427847123867042,0.261668588221764,1,0.0248494592230675,0.79241529415892,0.0360988083825977,0,0.00753951929418445
